ID,Index,Cluster
1,24755,1
1,24756,1
1,24757,1
1,24758,1
1,24759,1
1,24760,1
1,24761,1
1,24762,1
1,24763,1
1,24764,1
1,24765,1
1,24766,1
1,24767,1
1,24768,1
1,24769,1
1,24770,1
1,24771,1
1,24772,1
1,24773,1
1,24774,1
1,24775,1
1,24776,1
1,24777,0
1,24778,0
1,24779,0
1,24780,0
1,24781,0
1,24782,0
1,24783,0
1,24784,0
1,24785,0
1,24786,0
1,24787,0
1,24788,0
1,24789,0
1,24790,0
1,24791,0
1,24792,0
1,24793,0
1,24794,0
1,24795,0
1,24796,0
1,24797,0
1,24798,0
1,24799,1
1,24800,0
1,24801,0
1,24802,0
1,24803,1
1,24804,0
1,24805,1
1,24806,0
1,24807,0
1,24808,0
1,24809,0
1,24810,0
1,24811,1
1,24812,0
1,24813,0
1,24814,0
1,24815,0
1,24816,0
1,24817,0
1,24818,0
1,24819,0
1,24820,0
1,24821,0
1,24822,0
1,24823,0
1,24824,0
1,24825,0
1,24826,1
1,24827,1
1,24828,1
1,24829,1
1,24830,1
1,24831,0
1,24832,0
1,24833,0
1,24834,1
1,24835,0
1,24836,0
1,24837,1
1,24838,0
1,24839,0
1,24840,0
1,24841,0
1,24842,1
1,24843,0
1,24844,0
1,24845,0
1,24846,0
1,24847,0
1,24848,0
1,24849,0
1,24850,0
1,24851,0
1,24852,0
1,24853,0
1,24854,0
1,24855,0
1,24856,0
1,24857,0
1,24858,0
1,24859,0
1,24860,0
1,24861,1
1,24862,1
1,24863,1
1,24864,1
1,24865,1
1,24866,1
1,24867,1
1,24868,1
1,24869,0
1,24870,1
1,24871,1
1,24872,0
1,24873,1
1,24874,1
1,24875,0
1,24876,0
1,24877,0
1,24878,0
1,24879,0
1,24880,0
1,24881,0
1,24882,1
1,24883,1
1,24884,0
1,24885,0
1,24886,0
1,24887,0
1,24888,0
1,24889,0
1,24890,1
1,24891,0
1,24892,0
1,24893,0
1,24894,1
1,24895,1
1,24896,1
1,24897,1
1,24898,1
1,24899,1
1,24900,1
1,24901,1
1,24902,1
1,24903,0
1,24904,1
1,24905,1
1,24906,1
1,24907,0
1,24908,0
1,24909,0
